clue_id,answer,difficulty,score,action,flags,old_clue_text,sanitized_clue_text
tr_kw_0001,AT,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Binek ve yük hayvanı olarak kullanılan, yeleli ve kuyruklu hayvan","Binek ve yük hayvanı olarak kullanılan, yeleli ve kuyruklu hayvan"
tr_kw_0002,SU,easy,78,KEEP,"","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı"
tr_kw_0003,EL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","İnsanın tutmaya ve iş yapmaya yarayan organı","İnsanın tutmaya ve iş yapmaya yarayan organı"
tr_kw_0004,AY,easy,88,KEEP,"DUAL_MEANING_BONUS; IDEAL_LENGTH_BONUS","Dünya'nın uydusu olan gök cismi; yılın on iki bölümü","Dünya'nın uydusu olan gök cismi; yılın on iki bölümü"
tr_kw_0005,OK,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Yayla atılan, ucu sivri savaş aleti","Yayla atılan, ucu sivri savaş aleti"
tr_kw_0006,MUZ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve"
tr_kw_0007,BAL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Arıların çiçeklerden topladığı özle yaptığı tatlı madde","Arıların çiçeklerden topladığı özle yaptığı tatlı madde"
tr_kw_0008,KIR,easy,83,KEEP,"DUAL_MEANING_BONUS","Şehir dışındaki açık ve yeşillik alan; beyazla az siyah karışımı renk","Şehir dışındaki açık ve yeşillik alan; beyazla az siyah karışımı renk"
tr_kw_0009,EDA,easy,88,KEEP,"DUAL_MEANING_BONUS; IDEAL_LENGTH_BONUS","Tavır, davranış; naz, cilve","Tavır, davranış; naz, cilve"
tr_kw_0010,GÖL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Karalar üzerindeki durgun su birikintisi","Karalar üzerindeki durgun su birikintisi"
tr_kw_0011,KEMAN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yay ile çalınan telli çalgı","Yay ile çalınan telli çalgı"
tr_kw_0012,KALEM,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yazı yazmaya ve resim yapmaya yarayan araç","Yazı yazmaya ve resim yapmaya yarayan araç"
tr_kw_0013,DENİZ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Kıtalar arasındaki büyük tuzlu su kütlesi","Kıtalar arasındaki büyük tuzlu su kütlesi"
tr_kw_0014,SABAH,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Günün, güneşin doğuşundan öğleye kadar süren aydınlık bölümü","Günün, güneşin doğuşundan öğleye kadar süren aydınlık bölümü"
tr_kw_0015,ÇORBA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Sebze, et veya bakliyatla yapılan sıcak, sulu yemek","Sebze, et veya bakliyatla yapılan sıcak, sulu yemek"
tr_kw_0016,KAPLAN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Turuncu üzerine siyah çizgili kürkü olan yırtıcı büyük kedi","Turuncu üzerine siyah çizgili kürkü olan yırtıcı büyük kedi"
tr_kw_0017,ANKARA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Türkiye Cumhuriyeti'nin başkenti ve bürokrasi merkezi","Türkiye Cumhuriyeti'nin başkenti ve bürokrasi merkezi"
tr_kw_0018,DOKTOR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Hastalıkları teşhis ve tedavi eden tıp uzmanı, hekim","Hastalıkları teşhis ve tedavi eden tıp uzmanı, hekim"
tr_kw_0019,YILDIZ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Gökyüzünde nokta halinde görülen ışıklı gök cismi","Gökyüzünde nokta halinde görülen ışıklı gök cismi"
tr_kw_0020,FISTIK,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Kabuklu, yağlı ve lezzetli bir kuruyemiş","Kabuklu, yağlı ve lezzetli bir kuruyemiş"
tr_kw_0021,İSTANBUL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Boğaziçi'ne sahip, Türkiye'nin en kalabalık ili","Boğaziçi'ne sahip, Türkiye'nin en kalabalık ili"
tr_kw_0022,INTERNET,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Küresel bilgisayar ağı","Küresel bilgisayar ağı"
tr_kw_0023,SANDALYE,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Genellikle arkalıklı, oturmaya yarayan mobilya","Genellikle arkalıklı, oturmaya yarayan mobilya"
tr_kw_0024,KAHVALTI,medium,88,KEEP,"DUAL_MEANING_BONUS; IDEAL_LENGTH_BONUS","Günün ilk öğünü; sabah yemeği","Günün ilk öğünü; sabah yemeği"
tr_kw_0025,SEKİZGEN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Sekiz kenarlı geometrik şekil","Sekiz kenarlı geometrik şekil"
tr_kw_0026,TELEVİZYON,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Görüntü ve ses yayınlarını alan cihaz","Görüntü ve ses yayınlarını alan cihaz"
tr_kw_0027,FOTOKOPİ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Belge çoğaltma işlemi","Belge çoğaltma işlemi"
tr_kw_0028,ÇİKOLATA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Kakaodan yapılan, süt ve şeker içeren sevilen tatlı","Kakaodan yapılan, süt ve şeker içeren sevilen tatlı"
tr_kw_0029,PORTAKAL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi"
tr_kw_0030,OTOMOBİL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yolcu taşımak için yapılmış, motorlu kara taşıtı","Yolcu taşımak için yapılmış, motorlu kara taşıtı"
tr_kw_0031,MÜTEŞEKKİR,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Minnettar, teşekkür eden kimse","Minnettar, teşekkür eden kimse"
tr_kw_0032,ARKEOLOJİ,hard,78,KEEP,"","Kazı bilimi","Kazı bilimi"
tr_kw_0033,BAŞKOMUTAN,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Ordunun en yüksek rütbeli kumandanı","Ordunun en yüksek rütbeli kumandanı"
tr_kw_0034,BİYOLOJİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Canlıları inceleyen bilim dalı","Canlıları inceleyen bilim dalı"
tr_kw_0035,CUMHURİYET,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Milletin egemenliği kendi elinde tuttuğu yönetim biçimi","Milletin egemenliği kendi elinde tuttuğu yönetim biçimi"
tr_kw_0036,DİPLOMASİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Devletlerarası ilişkileri yürütme sanatı","Devletlerarası ilişkileri yürütme sanatı"
tr_kw_0037,EDEBİYAT,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Söz ve yazı sanatı, yazın","Söz ve yazı sanatı, yazın"
tr_kw_0038,FELSEFE,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Düşünce bilimi, sevgisi","Düşünce bilimi, sevgisi"
tr_kw_0039,COĞRAFYA,hard,78,KEEP,"","Yeryüzü bilimi","Yeryüzü bilimi"
tr_kw_0040,MATEMATİK,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Sayılar ve şekiller bilimi","Sayılar ve şekiller bilimi"
tr_kw_0041,BİLİRKİŞİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Bir konuda uzmanlığına başvurulan kimse","Bir konuda uzmanlığına başvurulan kimse"
tr_kw_0042,MİSAFİRPERVER,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Konuk ağırlamayı seven","Konuk ağırlamayı seven"
tr_kw_0043,KARAMBOL,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Bilardoda veya futbolda karışıklık","Bilardoda veya futbolda karışıklık"
tr_kw_0044,TEBADİL,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Değiş tokuş etme, yer değiştirme","Değiş tokuş etme, yer değiştirme"
tr_kw_0045,MÜTEVAZI,hard,78,KEEP,"","Alçakgönüllü, gösterişsiz","Alçakgönüllü, gösterişsiz"
tr_kw_0046,ZANAATKAR,hard,83,KEEP,"IDEAL_LENGTH_BONUS","El ustalığıyla iş yapan kimse","El ustalığıyla iş yapan kimse"
tr_kw_0047,ŞADIRVAN,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Cami avlularındaki abdest alma yeri","Cami avlularındaki abdest alma yeri"
tr_kw_0048,İSTİKLAL,hard,63,SANITIZE_ONLY,"SINGLE_WORD_CLUE","Bağımsızlık","Bağımsızlık"
tr_kw_0049,TEKNOLOJİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Bilgiyi sanayide kullanma bilimi","Bilgiyi sanayide kullanma bilimi"
tr_kw_0050,MÜHENDİS,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Teknik ve matematiksel prensipleri uygulayan uzman kişi","Teknik ve matematiksel prensipleri uygulayan uzman kişi"
tr_kw_0051,SÜT,easy,78,KEEP,"","Dişi memelilerin yavrularını beslemek için memelerinden gelen beyaz sıvı","Dişi memelilerin yavrularını beslemek için memelerinden gelen beyaz sıvı"
tr_kw_0052,KOL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Omuzdan parmaklara kadar uzanan organ","Omuzdan parmaklara kadar uzanan organ"
tr_kw_0053,BİT,easy,73,KEEP,"BELOW_AVG_BIGRAM_SCORE","Küçük parazit böcek","Küçük parazit böcek"
tr_kw_0054,EKMEK,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Un, su ve tuzla yapılan temel gıda maddesi","Un, su ve tuzla yapılan temel gıda maddesi"
tr_kw_0055,KEDİ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Evlerde beslenen, fare avcısı, bıyıklı ve tüylü hayvan","Evlerde beslenen, fare avcısı, bıyıklı ve tüylü hayvan"
tr_kw_0056,MAVİ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Gökyüzü ve deniz rengi","Gökyüzü ve deniz rengi"
tr_kw_0057,GÜL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Dikenli ve kokulu bir çiçek","Dikenli ve kokulu bir çiçek"
tr_kw_0058,KAPI,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Bir yere girip çıkarken geçilen açılır kapanır bölme","Bir yere girip çıkarken geçilen açılır kapanır bölme"
tr_kw_0059,AYI,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Kış uykusuna yatan, iri gövdeli, tüylü yaban hayvanı","Kış uykusuna yatan, iri gövdeli, tüylü yaban hayvanı"
