id,answer,clue_original,cleaned_clue,rewritten_clue,quality_score,decision,reasons,clue_word_count,answer_length,contains_meta,contains_answer_leak,profanity_hit,ambiguity_hit
"tr_kw_0001","AT","Binek ve yük hayvanı olarak kullanılan, yeleli ve kuyruklu hayvan","Binek ve yük hayvanı olarak kullanılan, yeleli ve kuyruklu hayvan","",100,"ACCEPT","+5 ideal length bonus",10,2,false,false,false,false
"tr_kw_0002","SU","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı","",100,"ACCEPT","",11,2,false,false,false,false
"tr_kw_0003","EL","İnsanın tutmaya ve iş yapmaya yarayan organı","İnsanın tutmaya ve iş yapmaya yarayan organı","",100,"ACCEPT","+5 ideal length bonus",7,2,false,false,false,false
"tr_kw_0004","AY","Dünya'nın uydusu olan gök cismi; yılın on iki bölümü","Dünya'nın uydusu olan gök cismi; yılın on iki bölümü","",100,"ACCEPT","+5 dual-meaning bonus; +5 ideal length bonus",9,2,false,false,false,false
"tr_kw_0005","OK","Yayla atılan, ucu sivri savaş aleti","Yayla atılan, ucu sivri savaş aleti","",100,"ACCEPT","+5 ideal length bonus",6,2,false,false,false,false
"tr_kw_0006","MUZ","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve","",100,"ACCEPT","+5 ideal length bonus",7,3,false,false,false,false
"tr_kw_0007","BAL","Arıların çiçeklerden topladığı özle yaptığı tatlı madde","Arıların çiçeklerden topladığı özle yaptığı tatlı madde","",100,"ACCEPT","+5 ideal length bonus",7,3,false,false,false,false
"tr_kw_0008","KIR","Şehir dışındaki açık ve yeşillik alan; beyazla az siyah karışımı renk","Şehir dışındaki açık ve yeşillik alan; beyazla az siyah karışımı renk","",100,"ACCEPT","+5 dual-meaning bonus",11,3,false,false,false,false
"tr_kw_0009","EDA","Tavır, davranış; naz, cilve","Tavır, davranış; naz, cilve","",100,"ACCEPT","+5 dual-meaning bonus; +5 ideal length bonus",4,3,false,false,false,false
"tr_kw_0010","GÖL","Karalar üzerindeki durgun su birikintisi","Karalar üzerindeki durgun su birikintisi","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0011","KEMAN","Yay ile çalınan telli çalgı","Yay ile çalınan telli çalgı","",100,"ACCEPT","+5 ideal length bonus",5,5,false,false,false,false
"tr_kw_0012","KALEM","Yazı yazmaya ve resim yapmaya yarayan araç","Yazı yazmaya ve resim yapmaya yarayan araç","",100,"ACCEPT","+5 ideal length bonus",7,5,false,false,false,false
"tr_kw_0013","DENİZ","Kıtalar arasındaki büyük tuzlu su kütlesi","Kıtalar arasındaki büyük tuzlu su kütlesi","",100,"ACCEPT","+5 ideal length bonus",6,5,false,false,false,false
"tr_kw_0014","SABAH","Günün, güneşin doğuşundan öğleye kadar süren aydınlık bölümü","Günün, güneşin doğuşundan öğleye kadar süren aydınlık bölümü","",100,"ACCEPT","+5 ideal length bonus",8,5,false,false,false,false
"tr_kw_0015","ÇORBA","Sebze, et veya bakliyatla yapılan sıcak, sulu yemek","Sebze, et veya bakliyatla yapılan sıcak, sulu yemek","",100,"ACCEPT","+5 ideal length bonus",8,5,false,false,false,false
"tr_kw_0016","KAPLAN","Turuncu üzerine siyah çizgili kürkü olan yırtıcı büyük kedi","Turuncu üzerine siyah çizgili kürkü olan yırtıcı büyük kedi","",100,"ACCEPT","+5 ideal length bonus",9,6,false,false,false,false
"tr_kw_0017","ANKARA","Türkiye Cumhuriyeti'nin başkenti ve bürokrasi merkezi","Türkiye Cumhuriyeti'nin başkenti ve bürokrasi merkezi","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0018","DOKTOR","Hastalıkları teşhis ve tedavi eden tıp uzmanı, hekim","Hastalıkları teşhis ve tedavi eden tıp uzmanı, hekim","",100,"ACCEPT","+5 ideal length bonus",8,6,false,false,false,false
"tr_kw_0019","YILDIZ","Gökyüzünde nokta halinde görülen ışıklı gök cismi","Gökyüzünde nokta halinde görülen ışıklı gök cismi","",100,"ACCEPT","+5 ideal length bonus",7,6,false,false,false,false
